,Data Retrieved (1/5 of Responses),Data Retrieved (4/5 of Responses)
Bing,9/5/23,9/8/23
Bard,9/5/23,9/9/23
GPT-3.5.NPP,9/5/23,9/9/23
GPT-3.5.PP,9/5/23,9/13/23
GPT-4,9/5/23,9/10/23
Replika,9/5/23,9/12/23
Character.ai,9/5/23,9/13/23
